               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091769,            0.030868,            0.071162,             0.26548,            0.056116,            0.024093,            0.011152,            0.067382,            0.018119,            0.066899,            0.070114,           0.0033207,           0.0033207
                   1,            0.064011,            0.026304,            0.063186,             0.38824,             0.12091,            0.049643,            0.024789,            0.055597,            0.016514,            0.063519,            0.039785,           0.0063246,           0.0063246
                   2,            0.059688,            0.025007,            0.060454,             0.47917,             0.11629,            0.063196,              0.0284,            0.057117,            0.017158,            0.061059,           0.0091253,           0.0089986,           0.0089986
                   3,            0.055927,            0.024405,             0.05728,             0.53685,            0.089787,            0.079267,            0.040521,            0.051919,            0.017037,            0.057932,            0.008515,            0.008515,            0.008515
                   4,            0.053483,            0.024254,            0.054201,              0.3732,              0.1647,            0.093615,            0.049274,            0.050913,            0.016455,            0.057426,            0.008515,            0.008515,            0.008515
                   5,             0.05188,            0.024511,            0.051727,             0.22854,               0.181,             0.11343,            0.063377,            0.048886,            0.015937,            0.055526,             0.00802,             0.00802,             0.00802
                   6,            0.050318,            0.023446,            0.049745,             0.28214,             0.17296,             0.12656,            0.068621,            0.049879,            0.016362,            0.054024,            0.007525,            0.007525,            0.007525
                   7,             0.04926,            0.023779,            0.046347,             0.36027,             0.20382,             0.14592,            0.084775,            0.048264,            0.015539,             0.05236,             0.00703,             0.00703,             0.00703
                   8,            0.048397,             0.02276,            0.044454,             0.36492,             0.19463,             0.15632,            0.093433,            0.047745,            0.016013,            0.051306,            0.006535,            0.006535,            0.006535
                   9,            0.046923,            0.021965,            0.042082,             0.22294,             0.22643,             0.17763,             0.10289,            0.047835,            0.015442,            0.050255,             0.00604,             0.00604,             0.00604
                  10,            0.046595,            0.022109,            0.040032,             0.36181,             0.21651,             0.18501,              0.1095,            0.046522,             0.01574,            0.049343,            0.005545,            0.005545,            0.005545
                  11,            0.045761,            0.021862,            0.037272,             0.24162,             0.26266,             0.20475,             0.12404,            0.045862,            0.015289,            0.048889,             0.00505,             0.00505,             0.00505
                  12,            0.044885,            0.021051,            0.035154,             0.28276,              0.2539,             0.21685,             0.13175,            0.044237,              0.0152,            0.048566,            0.004555,            0.004555,            0.004555
                  13,            0.043808,            0.020706,            0.032803,             0.34815,               0.272,              0.2325,             0.14478,            0.044351,            0.014781,            0.047815,             0.00406,             0.00406,             0.00406
                  14,             0.04262,            0.020066,            0.031145,             0.35999,             0.26711,             0.24195,             0.15229,             0.04358,            0.015152,             0.04794,            0.003565,            0.003565,            0.003565
                  15,            0.041816,            0.019572,            0.029187,             0.38109,             0.29646,             0.26368,             0.16958,            0.043104,            0.014706,            0.046973,             0.00307,             0.00307,             0.00307
                  16,            0.041111,             0.01954,            0.027297,             0.44151,             0.27331,             0.26889,             0.17463,            0.043147,            0.014773,            0.047062,            0.002575,            0.002575,            0.002575
                  17,            0.040251,            0.018702,            0.025046,             0.38891,             0.29957,             0.28599,             0.19129,            0.042243,            0.014603,            0.047289,             0.00208,             0.00208,             0.00208
                  18,            0.040155,            0.018961,            0.023891,              0.3629,              0.3176,             0.28514,             0.19179,            0.042067,            0.014312,             0.04728,            0.001585,            0.001585,            0.001585
                  19,            0.039048,            0.018814,            0.021853,             0.40673,             0.31458,             0.30396,             0.20302,            0.041655,            0.014399,             0.04554,             0.00109,             0.00109,             0.00109
